time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
4,1.0,0.69610025,4,1.0,126,0,,,,
8,1.0,0.638952125,8,1.0,131,0,,,,
12,1.0,0.6433022500000001,12,1.0,132,0,,,,
16,1.0,0.66430325,16,1.0,134,0,,,,
20,1.0,0.65438165,20,1.0,135,0,,,,
24,1.0,0.6678470833333333,24,1.0,134,0,,,,
28,1.0,0.6621668214285714,28,1.0,135,0,,,,
32,1.0,0.678352625,32,1.0,134,0,,,,
36,1.0,0.6690801111111111,36,1.0,134,0,,,,
40,1.0,0.685827,40,1.0,134,0,,,,
44,1.0,0.6740147954545455,44,1.0,134,0,,,,
48,1.0,0.6693245416666667,48,1.0,135,0,,,,
52,1.0,0.6651526346153847,52,1.0,135,0,,,,
56,1.0,0.6573016071428572,56,1.0,136,0,,,,
60,1.0,0.6536766666666668,60,1.0,136,0,,,,
64,1.0,0.6507916406250001,64,1.0,135,0,,,,
68,1.0,0.6527979117647059,68,1.0,133,0,,,,
72,1.0,0.6517474305555555,72,1.0,132,0,,,,
76,1.0,0.6460915131578947,76,1.0,131,0,,,,
80,1.0,0.6480322875000001,80,1.0,130,0,,,,
84,1.0,0.6421409642857144,84,1.0,130,0,,,,
88,1.0,0.6405640227272728,88,1.0,130,0,,,,
92,1.0,0.6425901304347825,92,1.0,130,0,,,,
96,1.0,0.6416417083333333,96,1.0,130,0,,,,
100,1.0,0.63720344,100,1.0,129,0,,,,
104,1.0,0.63075434,104,1.0,124,0,-0.7021746039390564,0.001,0.04592350125312805,3
108,1.0,0.63571466,108,1.0,119,0,-0.7987357378005981,0.001,0.060260675847530365,7
112,1.0,0.62901575,112,1.0,113,0,-0.5719821453094482,0.001,0.011909248307347298,11
116,1.0,0.62252264,116,1.0,109,1,-0.5299773812294006,0.001,0.01647837646305561,15
120,1.0,0.6185558899999999,120,1.0,105,1,-0.627467155456543,0.001,0.004036142025142908,19
124,1.0,0.6111380500000001,124,1.0,101,1,-0.6997683048248291,0.001,0.005397355183959007,23
128,1.0,0.6132806000000001,128,1.0,98,1,-0.642349123954773,0.001,0.0029380477499216795,27
132,1.0,0.6111729100000001,132,1.0,95,1,-0.5975826978683472,0.001,0.002362651051953435,31
136,1.0,0.61450316,136,1.0,91,1,-0.6134990453720093,0.001,0.002220932859927416,35
140,1.0,0.6051555999999999,140,1.0,89,1,-0.6658207178115845,0.001,0.0009845688473433256,39
